Disease,Description,Source,Source_URL,Retrieved_Date,Canonical_Query
fungal infection,"Fungal infection, also known as mycosis, is a disease caused by fungi. Different types are traditionally divided according to the part of the body affected: superficial, subcutaneous, and systemic. Superficial fungal infections include common tinea of the skin, such as tinea of the body, groin, hands, feet and beard, and yeast infections such as pityriasis versicolor. Subcutaneous types include eumycetoma and chromoblastomycosis, which generally affect tissues in and beneath the skin. Systemic fungal infections are more serious and include cryptococcosis, histoplasmosis, pneumocystis pneumonia, aspergillosis and mucormycosis. Signs and symptoms range widely. There is usually a rash with superficial infection. Fungal infection within the skin or under the skin may present with a lump and skin changes. Pneumonia-like symptoms or meningitis may occur with a deeper or systemic infection.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Fungal_infection,2026-02-07,fungal infection
allergy,"An allergy is an exaggerated immune response where the body mistakenly identifies an ordinarily harmless allergen as a threat. Allergic reactions give rise to allergic diseases such as hay fever, allergic conjunctivitis, allergic asthma, atopic dermatitis, food allergies, and anaphylaxis. Symptoms of allergic diseases may include red eyes, an itchy rash, sneezing, coughing, a runny nose, shortness of breath, or swelling.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Allergy,2026-02-07,allergy
gerd,"Gastroesophageal reflux disease (GERD) or gastro-oesophageal reflux disease (GORD) is a chronic upper gastrointestinal disease in which stomach content persistently and regularly flows up into the esophagus, resulting in symptoms and/or complications. Symptoms include dental corrosion, dysphagia, heartburn, odynophagia, regurgitation, non-cardiac chest pain, extraesophageal symptoms such as chronic cough, hoarseness, reflux-induced laryngitis, or asthma. In the long term, and when not treated, complications such as esophagitis, esophageal stricture, and Barrett's esophagus may arise.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease,2026-02-07,gastroesophageal reflux disease
chronic cholestasis,"Cholestasis is a condition where the flow of bile from the liver to the duodenum is impaired. The two basic distinctions are:obstructive type of cholestasis, where there is a mechanical blockage in the duct system that can occur from a gallstone or malignancy, and
metabolic type of cholestasis, in which there are disturbances in bile formation that can occur because of genetic defects or acquired as a side effect of many medications.",Wikipedia_search,https://en.wikipedia.org/wiki/Cholestasis,2026-02-07,chronic cholestasis | wiki_title:Cholestasis
drug reaction,"An adverse drug reaction (ADR) is an unintended medical event, which can potentially be associated with taking a medication. It can be disadvantageous or beneficial for the patient. ADRs may occur following a single dose or prolonged administration of a drug or may result from the combination of two or more drugs. The meaning of this term differs from the term ""side effect"" because side effects are proven by thorough investigation to have relationship to the drug. The study of ADRs is the concern of the field known as pharmacovigilance. An adverse event (AE) refers to any unexpected and inappropriate occurrence at the time a drug is used, whether or not the event is associated with the administration of the drug. An ADR is a special type of AE in which a causative relationship can be shown or is suspected. ADRs are only one type of medication-related harm. Another type of medication-related harm type includes not taking prescribed medications, known as non-adherence. Non-adherence to medications can lead to death and other negative outcomes. Adverse drug reactions require the use of a medication.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Adverse_drug_reaction,2026-02-07,drug reaction
peptic ulcer disease,"Peptic ulcer disease refers to damage of the inner part of the stomach's gastric mucosa, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer. The most common symptoms of a duodenal ulcer are waking at night with upper abdominal pain, and upper abdominal pain that improves with eating. With a gastric ulcer, the pain may worsen with eating. The pain is often described as a burning or dull ache. Other symptoms include belching, vomiting, weight loss, or poor appetite. About a third of older people with peptic ulcers have no symptoms. Complications may include bleeding, perforation, and blockage of the stomach. Bleeding occurs in as many as 15% of cases.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Peptic_ulcer_disease,2026-02-07,peptic ulcer disease
hiv aids,"Human immunodeficiency virus (HIV) is a retrovirus that attacks the immune system. Without treatment, it can lead to a spectrum of conditions including acquired immunodeficiency syndrome (AIDS). It is a preventable disease. It can be managed with treatment and become a manageable chronic health condition. While there is no cure or vaccine for HIV, antiretroviral treatment can slow the course of the disease, and, if used before significant disease progression, can extend the life expectancy of someone living with HIV to a nearly standard level. An HIV-positive person on treatment can expect to live a normal life, and die with the virus, not of it. Effective treatment for HIV-positive people involves a life-long regimen of medicine to suppress the virus, making the viral load undetectable.",Wikipedia_fallback,https://en.wikipedia.org/wiki/HIV%2FAIDS,2026-02-07,HIV/AIDS
diabetes,"Diabetes mellitus, commonly known as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels. Diabetes tends to progress in severity, and is due to either a reduced production of the hormone insulin by the pancreas or unresponsiveness of bodily cells to insulin's effects. Classic symptoms include the three Ps: polydipsia, polyuria, and polyphagia, together with weight loss and blurred vision. If left untreated, the disease can lead to many health complications, including disorders of the cardiovascular system, eye, kidney, and nerves.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Diabetes,2026-02-07,diabetes
gastroenteritis,"Gastroenteritis, also known as infectious diarrhea, is an inflammation of the gastrointestinal tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain. Fever, lack of energy, and dehydration may also occur. This typically lasts less than two weeks. Although it is not related to influenza, in Canada and the United States it is often referred to as ""stomach flu"".",Wikipedia_fallback,https://en.wikipedia.org/wiki/Gastroenteritis,2026-02-07,gastroenteritis
bronchial asthma,"Asthma is a common long-term inflammatory disease of the airways. It is characterized by variable and recurring symptoms and reduced lung function. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath. A sudden worsening of asthma symptoms sometimes called an 'asthma attack' or an 'asthma exacerbation' can occur when allergens, pollen, dust, or other particles, are inhaled into the lungs, causing the bronchioles to constrict and produce mucus, which then restricts oxygen flow to the alveoli. These may occur a few times a day or a few times per week. Depending on the person, asthma symptoms may become worse at night or with exercise.",Wikipedia_fallback,https://en.wikipedia.org/wiki/Asthma,2026-02-07,bronchial asthma
